"pred_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2013-12-01",0,0,0,0,13,14,0,0,0,0,0,0,7,0,0,0,0,11,12,0,0,0,0,0,17,0,0,9,0,0,0,22
"2013-12-08",0,0,12,0,0,41,15,0,0,0,0,0,10,0,0,0,0,14,39,0,0,0,0,18,0,0,0,16,10,0,7,32
"2013-12-15",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,8,0,0,10,24,0,0,0,23
"2013-12-22",0,10,14,0,10,0,12,0,0,0,0,0,43,0,0,0,12,16,0,0,0,0,0,20,11,0,0,36,0,0,22,0
"2013-12-29",0,0,0,12,0,0,0,0,0,0,18,0,12,0,0,0,0,14,11,0,0,27,0,15,18,0,0,31,30,8,0,40
"2014-01-05",0,0,0,0,0,30,0,0,0,0,0,0,22,0,0,0,0,12,9,0,8,9,0,26,0,0,0,22,0,8,8,43
"2014-01-12",0,0,0,0,0,23,14,0,0,0,0,0,17,0,0,0,0,15,11,0,0,0,0,23,0,0,0,19,0,27,0,37
"2014-01-19",0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,16,0,0,12,20,0,0,0,18,0,12,0,35
"2014-01-26",0,0,0,10,13,0,0,0,0,0,14,0,0,0,0,0,8,20,0,0,0,0,0,7,37,0,0,14,0,0,0,41
"2014-02-02",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,21,0,0,0,0,0,7,0,0,15,19,10,8,0,25
"2014-02-09",0,9,7,0,6,10,0,0,0,0,0,0,13,0,0,0,8,15,0,0,0,0,19,16,0,0,0,19,0,0,6,27
"2014-02-16",0,0,0,7,7,36,0,0,0,0,0,0,22,0,0,0,8,13,0,0,12,0,0,12,0,0,0,16,7,0,0,33
"2014-02-23",0,0,0,37,0,0,0,0,0,0,0,0,10,0,0,0,0,21,0,16,0,0,0,0,0,0,8,0,0,11,0,23
"2014-03-02",0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"2014-03-09",0,0,0,0,0,9,0,0,0,0,20,0,9,0,0,0,6,20,0,0,0,0,0,21,0,0,0,20,0,10,0,36
"2014-03-16",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,9,0,0,0,0,0,0,0,0,11,0,6,0,55
"2014-03-23",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,13,0,0,0,16,0,0,0,0,0,13,10,0,0,22
"2014-03-30",0,0,14,0,0,0,0,0,0,0,16,0,10,0,0,0,0,11,8,0,0,0,20,0,7,0,0,24,0,10,0,31
"2014-04-06",0,7,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,16,0,0,0,0,6,12,0,0,0,22,0,0,0,36
"2014-04-13",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,12,25,18,0,32
"2014-04-20",0,8,0,7,19,24,0,0,0,0,0,0,10,0,0,0,0,33,0,0,0,0,0,47,0,0,0,11,0,19,0,25
"2014-04-27",0,0,0,0,14,30,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,10,0,23,0,0,0,17,0,0,0,10
"2014-05-04",0,0,0,0,0,45,0,0,0,0,0,0,42,0,0,0,0,8,0,0,0,7,0,22,0,0,0,14,0,0,0,35
"2014-05-11",0,14,0,8,0,14,11,0,0,0,0,0,0,0,0,0,8,11,0,6,10,0,0,17,0,0,0,39,0,0,8,50
"2014-05-18",0,0,0,0,0,12,19,0,0,0,12,0,0,0,0,0,24,15,13,22,7,9,0,0,0,0,0,14,0,12,0,35
"2014-05-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,0,10,10,0,10,0,0,0,0,12,0,9,0,14
"2014-06-01",0,16,0,0,6,7,14,0,0,0,0,0,0,0,0,0,0,23,0,0,0,12,11,6,0,0,0,13,0,9,0,37
"2014-06-08",0,0,0,0,12,13,0,0,0,0,0,0,13,0,0,0,7,6,0,0,0,0,11,0,0,0,11,25,0,0,0,40
"2014-06-15",0,0,9,10,7,8,0,0,0,0,0,0,11,0,0,0,0,19,6,0,0,0,0,8,0,0,0,20,0,0,0,29
"2014-06-22",0,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,6,10,0,0,6,0,0,0,0,0,8,0,9,0,53
"2014-06-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,12,0,0,8,0,15
