"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2013-07-21,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",18,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",18,"rash",7,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",9,"mosquitos",10,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",7,"vomitar",0,"vómitos",0,"fiebre",35
2013-07-28,"aedes",0,"aedes aegypti",9,"aegypti",0,"vomit",0,"mosquito",12,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",35,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",13,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",20,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",22
2013-08-04,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",20,"rash",7,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",32,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",20,"náuseas",0,"vomitar",12,"vómitos",9,"fiebre",36
2013-08-11,"aedes",0,"aedes aegypti",0,"aegypti",7,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",10,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",15,"rash",0,"headache",0,"nausea",0,"virus del dengue",9,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",25,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",39
2013-08-18,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",13,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",48,"rash",8,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",16,"mosquitos",0,"zancudo",11,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",34,"náuseas",11,"vomitar",7,"vómitos",0,"fiebre",44
2013-08-25,"aedes",0,"aedes aegypti",6,"aegypti",11,"vomit",0,"mosquito",14,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",12,"pain",36,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",9,"vómitos",8,"fiebre",26
2013-09-01,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",34,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",15,"dolor de cabeza",0,"náuseas",0,"vomitar",12,"vómitos",7,"fiebre",39
2013-09-08,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",13,"rash",0,"headache",7,"nausea",10,"virus del dengue",9,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",22,"náuseas",0,"vomitar",10,"vómitos",11,"fiebre",36
2013-09-15,"aedes",0,"aedes aegypti",9,"aegypti",0,"vomit",15,"mosquito",16,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",10,"pain",16,"rash",0,"headache",0,"nausea",18,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",8,"zancudo",21,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",22,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",38
2013-09-22,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",12,"mosquitoes",0,"fever",28,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",0,"rash",0,"headache",8,"nausea",0,"virus del dengue",19,"síntomas del dengue",8,"mosquitos",0,"zancudo",26,"nuevo virus del dengue",0,"erupción",6,"dolor de cabeza",7,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",10
